"ID";"DTM";"P";"T";"RM"
"HRADISTE";1920-06-15;117.88;12.342;31.091
"HRADISTE";1920-07-15;178.65;15.912;54.702
"HRADISTE";1920-08-15;60.62;13.514;23.813
"HRADISTE";1920-09-15;36.12;11.654;16.783
"HRADISTE";1920-10-15;99.12;4.376;29.055
"HRADISTE";1920-11-15;24.3;-3.067;21.895
"HRADISTE";1920-12-15;92.84;-2.481;21.626
"HRADISTE";1921-01-15;59.69;1.304;50.138
"HRADISTE";1921-02-15;21.36;-2.37;28.056
"HRADISTE";1921-03-15;25.84;2.286;42.414
"HRADISTE";1921-04-15;82.2;4.945;37.689
"HRADISTE";1921-05-15;125.53;12.245;43.628
"HRADISTE";1921-06-15;95.36;12.289;29.997
"HRADISTE";1921-07-15;126.65;16.703;31.198
"HRADISTE";1921-08-15;174.61;15.69;54.854
"HRADISTE";1921-09-15;41.81;11.248;22.787
"HRADISTE";1921-10-15;5.36;8.025;16.326
"HRADISTE";1921-11-15;54.03;-2.246;12.411
"HRADISTE";1921-12-15;75.02;-3.294;12.523
"HRADISTE";1922-01-15;80.67;-5.939;11.168
"HRADISTE";1922-02-15;56.59;-4.814;11.545
"HRADISTE";1922-03-15;12.79;2.204;27.632
"HRADISTE";1922-04-15;117.54;4.298;91.551
"HRADISTE";1922-05-15;56.77;11.395;47.139
"HRADISTE";1922-06-15;109.52;14.411;38.799
"HRADISTE";1922-07-15;72.18;14.748;26.419
"HRADISTE";1922-08-15;103.88;14.258;23.389
"HRADISTE";1922-09-15;46.25;9.722;14.431
"HRADISTE";1922-10-15;57.07;4.182;18.058
"HRADISTE";1922-11-15;5.36;-0.661;11.266
"HRADISTE";1922-12-15;33.77;-2.13;15.054
"HRADISTE";1923-01-15;30.64;-2.514;16.169
"HRADISTE";1923-02-15;24.61;-2.327;17.312
"HRADISTE";1923-03-15;51.79;2.063;33.489
"HRADISTE";1923-04-15;49.37;4.576;20.17
"HRADISTE";1923-05-15;34.25;11.258;14.446
